0.109482,0.140762,0.341141,0.092865,0.166168,0.093842,0.095795,0.246338,0.095795
0.053757,0.076248,0.157379,0.060608,0.098724,0.042038,0.054733,0.118271,0.058655
0.034210,0.043015,0.120239,0.029327,0.058655,0.032257,0.034210,0.076248,0.030304
0.075272,0.089935,0.245346,0.058655,0.111435,0.075272,0.055725,0.162262,0.067444
0.000000,0.002930,0.001953,0.002930,0.000000,0.001953,0.000977,0.004883,0.001953
0.068420,0.077225,0.166168,0.055725,0.101654,0.046921,0.049850,0.112411,0.057678
0.118271,0.138809,0.330399,0.095795,0.174973,0.080154,0.090912,0.207230,0.098724
0.048874,0.066467,0.146622,0.043991,0.083084,0.037140,0.031281,0.089935,0.047897
0.071350,0.091888,0.212112,0.062561,0.125122,0.052780,0.052780,0.127075,0.055725
0.051804,0.072342,0.173019,0.048874,0.090912,0.040085,0.045944,0.104599,0.051804
0.007812,0.008804,0.015640,0.007812,0.002930,0.004883,0.002930,0.014664,0.005859
0.269791,0.375366,0.826965,0.264908,0.492661,0.197449,0.194519,0.476044,0.213089
0.036163,0.047897,0.116318,0.033234,0.066467,0.030304,0.032257,0.084061,0.033234
0.070374,0.072342,0.174973,0.044968,0.069397,0.056702,0.049850,0.173019,0.066467
0.043991,0.060608,0.143692,0.042038,0.081131,0.031281,0.030304,0.085037,0.042038
0.082108,0.112411,0.253174,0.075272,0.131958,0.059631,0.058655,0.162262,0.066467
0.119263,0.154449,0.349945,0.095795,0.185730,0.088959,0.087982,0.231674,0.102631
0.098724,0.117294,0.285431,0.067444,0.170090,0.065491,0.060608,0.175949,0.069397
0.113388,0.147598,0.363632,0.109482,0.225800,0.084061,0.086014,0.224823,0.104599
0.012711,0.018570,0.033234,0.008804,0.014664,0.011734,0.012711,0.018570,0.012711
0.103622,0.112411,0.279572,0.076248,0.139786,0.084061,0.083084,0.189636,0.090912
0.030304,0.040085,0.093842,0.026398,0.042038,0.020523,0.024445,0.058655,0.022476
0.061584,0.085037,0.185730,0.059631,0.111435,0.045944,0.043015,0.106552,0.050827
0.109482,0.147598,0.362656,0.111435,0.217010,0.096771,0.088959,0.230698,0.098724
0.007812,0.010757,0.016617,0.005859,0.012711,0.006836,0.006836,0.012711,0.006836
